0,7755
1,23
2,30
3,31
4,29
5,41
6,27
7,41
8,42
9,36
10,44
11,48
12,44
13,48
14,55
15,67
16,51
17,68
18,64
19,87
20,84
21,95
22,101
23,122
24,125
25,179
26,197
27,224
28,223
29,285
30,320
31,360
32,388
33,458
34,518
35,546
36,656
37,723
38,737
39,823
40,941
41,1006
42,1066
43,1160
44,1286
45,1402
46,1491
47,1549
48,1655
49,1747
50,1908
51,2068
52,2062
53,2257
54,2356
55,2471
56,2596
57,2664
58,2899
59,3001
60,3016
61,3219
62,3404
63,3471
64,3653
65,3689
66,3950
67,4022
68,4260
69,4310
70,4421
71,4672
72,4716
73,5018
74,5059
75,5291
76,5419
77,5643
78,5791
79,6007
80,6151
81,6212
82,6404
83,6823
84,6951
85,7100
86,7221
87,7599
88,7603
89,7946
90,8236
91,8175
92,8621
93,9112
94,9203
95,9514
96,9956
97,10070
98,10674
99,10814
100,11223
101,11577
102,12151
103,12732
104,13248
105,13719
106,14430
107,15194
108,15816
109,16691
110,17372
111,18117
112,19289
113,20417
114,21593
115,22764
116,23934
117,25370
118,27110
119,29087
120,31126
121,32754
122,35120
123,37577
124,39806
125,42606
126,45969
127,48760
128,51948
129,55714
130,59080
131,62237
132,66352
133,70644
134,74063
135,77798
136,82391
137,86339
138,89937
139,91670
140,94340
141,96459
142,98293
143,99524
144,100807
145,100630
146,100251
147,99696
148,97998
149,95516
150,94389
151,91377
152,87861
153,84049
154,80209
155,76925
156,73481
157,69300
158,64834
159,61487
160,57707
161,53901
162,50215
163,46910
164,43386
165,40701
166,38052
167,35305
168,32714
169,30707
170,28224
171,26590
172,24977
173,23141
174,21800
175,20497
176,19513
177,18252
178,17202
179,16458
180,15492
181,14710
182,14164
183,13554
184,12991
185,12425
186,11902
187,11522
188,11175
189,10593
190,10239
191,10049
192,9463
193,9202
194,9152
195,8642
196,8417
197,8237
198,8041
199,7635
200,7577
201,7507
202,7225
203,6992
204,6846
205,6792
206,6672
207,6518
208,6284
209,6235
210,6032
211,5942
212,5925
213,5727
214,5598
215,5347
216,5368
217,5333
218,5230
219,5064
220,4833
221,4812
222,4739
223,4613
224,4643
225,4592
226,4693
227,4603
228,4486
229,4509
230,4552
231,4515
232,4627
233,4558
234,4323
235,4274
236,4346
237,6851
238,5692
239,5479
240,5003
241,4593
242,3992
243,3446
244,2944
245,2380
246,2044
247,1549
248,1348
249,1126
250,989
251,835
252,741
253,624
254,505
255,6405
