0,21
1,20
2,23
3,19
4,15
5,25
6,26
7,25
8,20
9,30
10,37
11,21
12,28
13,32
14,25
15,30
16,19
17,24
18,37
19,23
20,24
21,35
22,34
23,34
24,34
25,50
26,47
27,40
28,37
29,38
30,46
31,53
32,59
33,67
34,56
35,60
36,81
37,75
38,54
39,78
40,73
41,82
42,66
43,87
44,90
45,81
46,97
47,127
48,91
49,117
50,99
51,118
52,116
53,115
54,136
55,125
56,154
57,126
58,118
59,159
60,169
61,133
62,157
63,181
64,195
65,186
66,198
67,210
68,201
69,198
70,207
71,207
72,223
73,242
74,222
75,215
76,236
77,215
78,221
79,247
80,216
81,227
82,230
83,223
84,235
85,232
86,211
87,247
88,261
89,268
90,223
91,268
92,240
93,223
94,216
95,236
96,232
97,247
98,250
99,255
100,253
101,248
102,215
103,245
104,238
105,203
106,248
107,237
108,250
109,234
110,259
111,198
112,250
113,218
114,235
115,249
116,280
117,251
118,259
119,249
120,257
121,273
122,246
123,219
124,250
125,230
126,287
127,268
128,271
129,278
130,293
131,401
132,401
133,397
134,369
135,463
136,545
137,666
138,551
139,551
140,522
141,549
142,592
143,577
144,528
145,573
146,630
147,651
148,705
149,670
150,656
151,699
152,694
153,964
154,1305
155,1065
156,1309
157,944
158,1136
159,1325
160,1308
161,1221
162,1870
163,2173
164,2928
165,3079
166,3136
167,2685
168,2671
169,2765
170,3377
171,2878
172,3401
173,2634
174,3559
175,3749
176,3784
177,3295
178,2950
179,3116
180,3398
181,3855
182,3221
183,3432
184,4857
185,5440
186,4341
187,3833
188,3983
189,4049
190,4728
191,4522
192,3282
193,2819
194,3959
195,3943
196,4156
197,4408
198,3686
199,3199
200,3862
201,4067
202,3946
203,2740
204,2818
205,4403
206,4033
207,3703
208,3337
209,3252
210,2403
211,2647
212,4955
213,2393
214,1376
215,1140
216,1080
217,1061
218,904
219,922
220,851
221,867
222,973
223,876
224,953
225,837
226,933
227,684
228,537
229,485
230,377
231,370
232,383
233,348
234,358
235,287
236,318
237,313
238,301
239,296
240,291
241,281
242,249
243,211
244,176
245,177
246,148
247,118
248,144
249,111
250,201
251,75
252,77
253,36
254,15
255,0
